Year,Date,3,Count,Lat,Lng
2009,1,3,0.0,45.4496151,-73.81591618
2008,12,3,0.0,45.5287374,-73.55059446
2010,11,3,0.0,45.58044607,-73.57939489
2009,6,3,0.0,45.43341416,-73.91555068
2010,7,2,0.0,45.55619566,-73.55296513
2006,6,3,0.0,45.44499738,-73.85423597
2009,9,1,0.0,45.51771597,-73.70484306
2010,2,1,0.0,45.5219535,-73.60925022
2009,10,2,0.0,45.56046889,-73.66315375
2007,1,1,0.0,45.54543858,-73.62165372
2010,11,3,0.0,45.49371056,-73.74948391
2009,1,1,0.0,45.63531471,-73.53481474
2008,7,1,0.0,45.59291636,-73.63467731
2006,9,1,0.0,45.63450647,-73.50919782
2006,8,3,0.0,45.48481792,-73.78029553
2010,12,3,0.0,45.64763333,-73.54443101
2008,12,2,0.0,45.44386973,-73.60545193
2007,6,1,0.0,45.44198791,-73.93527008
2008,2,3,0.0,45.61846493,-73.588662
2006,6,3,0.0,45.53518638,-73.63965132
2008,6,3,0.0,45.48622809,-73.72224189
2008,8,2,0.0,45.4627067,-73.6491828
2009,11,2,0.0,45.48608882,-73.72780899
2007,8,3,0.0,45.51696027,-73.66050911
2007,8,2,0.0,45.65296116,-73.52210531
2009,12,1,0.0,45.47791228,-73.75628849
2009,12,3,0.0,45.61348173,-73.54120061
2009,8,1,0.0,45.49008512,-73.58121734
2007,3,3,0.0,45.56611713,-73.57829385
2007,6,3,0.0,45.43421134,-73.62383838
2006,1,3,0.0,45.62598476,-73.50448944
2010,2,2,0.0,45.44756459,-73.9387632
2008,7,1,0.0,45.44804592,-73.8597298
2009,12,1,0.0,45.61570232,-73.53384713
2008,11,3,0.0,45.64548673,-73.58055213
2006,6,3,0.0,45.41770337,-73.94333271
2006,11,1,0.0,45.43127738,-73.84816933
2006,1,3,0.0,45.41462342,-73.91750606
2009,4,2,0.0,45.65809535,-73.50031341
2006,4,1,0.0,45.68867264,-73.49739223
2008,6,3,0.0,45.52943068,-73.62154357
2006,11,2,0.0,45.49414379,-73.68346703
2006,8,1,0.0,45.48092059,-73.81251475
2009,4,2,0.0,45.60737199,-73.61253573
2006,5,2,0.0,45.5637575,-73.57937567
2010,5,1,0.0,45.54627942,-73.5299169
2007,6,2,0.0,45.49594026,-73.59031829
2006,10,1,0.0,45.44479374,-73.94503295
2010,4,3,0.0,45.60407934,-73.51333848
2007,9,3,0.0,45.48684721,-73.78362917
2008,8,2,0.0,45.59613677,-73.53782446
2010,12,1,0.0,45.48372421,-73.64866813
2009,10,3,0.0,45.42632796,-73.64304601
2007,4,1,0.0,45.46256724,-73.65699286
2007,8,2,0.0,45.49524457,-73.78502101
2010,3,3,0.0,45.52474762,-73.59672627
2008,7,1,0.0,45.4768285,-73.77786655
2008,12,3,0.0,45.42702276,-73.93433622
2007,3,1,0.0,45.46988838,-73.77623109
2008,8,3,0.0,45.44590722,-73.73578593
2007,11,2,0.0,45.50354695,-73.80588673
2008,3,2,0.0,45.6594912,-73.56923043
2010,4,1,0.0,45.54439177,-73.64179207
2009,5,2,0.0,45.50432161,-73.602901
2007,8,2,0.0,45.49143785,-73.85074681
2009,11,3,0.0,45.61421259,-73.57550512
2007,6,3,0.0,45.60950308,-73.5975708
2009,1,2,0.0,45.47883353,-73.61133824
2007,9,2,0.0,45.52383991,-73.68059845
2006,6,2,0.0,45.43437596,-73.94623074
2007,3,2,0.0,45.558656,-73.54710918
2007,8,3,0.0,45.46302627,-73.70458815
2006,7,3,0.0,45.59374339,-73.54705234
2010,12,1,0.0,45.64145231,-73.51681829
2008,6,1,0.0,45.64307615,-73.56065003
2008,12,1,0.0,45.58964644,-73.62964691
2010,7,1,0.0,45.45246729,-73.76787123
2010,9,1,0.0,45.53439643,-73.59482907
2009,8,2,0.0,45.54606251,-73.62867115
2008,5,1,0.0,45.55249885,-73.66224567
2006,3,3,0.0,45.506347,-73.72943415
2010,12,1,0.0,45.41791401,-73.94424219
2008,7,1,0.0,45.4992743,-73.81483602
2010,7,3,0.0,45.62356143,-73.54999632
2006,1,1,0.0,45.60860169,-73.58851093
2007,2,3,0.0,45.46127314,-73.82847062
2007,7,1,0.0,45.42139278,-73.61910037
2006,9,3,0.0,45.44227925,-73.76127487
2006,12,1,0.0,45.44972864,-73.71708873
2007,2,1,0.0,45.57793443,-73.55303797
2006,3,2,0.0,45.49423886,-73.80038593
2010,2,3,0.0,45.49723016,-73.68355628
2010,5,2,0.0,45.56672864,-73.61796775
2010,5,3,0.0,45.52499338,-73.60686674
2008,4,2,0.0,45.48342394,-73.68283588
2009,12,3,0.0,45.47976972,-73.73820309
2008,5,2,0.0,45.66865778,-73.54966056
2006,12,2,0.0,45.49879139,-73.55912562
2008,7,1,0.0,45.46466295,-73.81882336
2007,7,1,0.0,45.43414419,-73.66530303
2010,4,2,0.0,45.44895364,-73.75718642
2008,11,1,0.0,45.517347,-73.60204277
2007,9,1,0.0,45.41496353,-73.92196793
2006,10,3,0.0,45.45305823,-73.85901232
2008,1,1,0.0,45.49418337,-73.67690577
2009,2,3,0.0,45.43954749,-73.58635671
2006,2,2,0.0,45.46325902,-73.62723468
2009,8,2,0.0,45.54043962,-73.60966464
2006,12,1,0.0,45.47433326,-73.71830099
2009,6,2,0.0,45.47506249,-73.80481052
2008,9,2,0.0,45.51080694,-73.61545957
2008,9,3,0.0,45.48263535,-73.60704541
2010,1,3,0.0,45.60679556,-73.55596369
2007,11,1,0.0,45.48900336,-73.83168733
2009,2,1,0.0,45.54259933,-73.68278925
2008,11,2,0.0,45.49376477,-73.70737717
2009,11,2,0.0,45.43514817,-73.85949475
2010,10,3,0.0,45.51716029,-73.67123823
2010,7,1,0.0,45.56143827,-73.67133394
2008,3,1,0.0,45.46876425,-73.67932222
2010,3,1,0.0,45.54527481,-73.68729119
2010,9,2,0.0,45.46196248,-73.75881592
2008,11,2,0.0,45.56514398,-73.63073606
2010,8,3,0.0,45.49653508,-73.66832638
2010,10,1,0.0,45.55991064,-73.54058352
2010,8,1,0.0,45.51654545,-73.69056872
2007,7,3,0.0,45.50433655,-73.57518255
2010,5,3,0.0,45.49034065,-73.78240635
2008,11,2,0.0,45.52720855,-73.68488646
2006,11,2,0.0,45.42756996,-73.88083759
2007,12,2,0.0,45.41757896,-73.94830514
2008,7,2,0.0,45.45066055,-73.82514066
2007,12,3,0.0,45.46506332,-73.80373762
2009,3,1,0.0,45.66717038,-73.51730412
2009,12,2,0.0,45.67139292,-73.52988966
2006,8,1,0.0,45.43353831,-73.68208308
2008,4,3,0.0,45.51640172,-73.59089398
2009,2,3,0.0,45.52152609,-73.58894462
2006,4,2,0.0,45.56174748,-73.67411558
2009,9,2,0.0,45.63182436,-73.54925271
2009,10,3,0.0,45.52497793,-73.65211841
2006,1,3,0.0,45.6770679,-73.5315715
2009,8,3,0.0,45.52592676,-73.54686441
2008,11,3,0.0,45.46097336,-73.73796034
2006,5,1,0.0,45.50521946,-73.83082649
2010,12,2,0.0,45.46727016,-73.62791649
2007,9,3,0.0,45.43013853,-73.93386741
2009,11,1,0.0,45.5430724,-73.69605799
2010,4,3,0.0,45.68656476,-73.49221123
2010,12,2,0.0,45.64569083,-73.52698841
2008,8,1,0.0,45.43068062,-73.66110174
2008,12,3,0.0,45.4902615,-73.70925226
2008,12,3,0.0,45.49050167,-73.71641681
2006,3,1,0.0,45.42835115,-73.85824695
2008,4,2,0.0,45.61583581,-73.57233745
2009,3,3,0.0,45.48493426,-73.82181215
2009,2,2,0.0,45.6054468,-73.58145673
2007,10,3,0.0,45.4763247,-73.69626279
2009,10,2,0.0,45.57978417,-73.52268133
2006,8,2,0.0,45.62348682,-73.55872812
2006,7,2,0.0,45.42228224,-73.92525817
2008,2,3,0.0,45.57934459,-73.56576996
2008,1,2,0.0,45.4310405,-73.84696757
2009,12,3,0.0,45.45344991,-73.87621853
2006,4,1,0.0,45.62693077,-73.56666844
2006,5,2,0.0,45.48038809,-73.65357981
2010,4,1,0.0,45.43115721,-73.65086772
2008,5,2,0.0,45.51341707,-73.62867545
2008,10,2,0.0,45.53341395,-73.66184024
2007,7,2,0.0,45.48298064,-73.56302338
2007,1,1,0.0,45.6650201,-73.51942151
2007,12,1,0.0,45.47484921,-73.71598164
2006,1,3,0.0,45.53480889,-73.65621514
2009,4,3,0.0,45.4204689,-73.90100582
2007,11,2,0.0,45.60841636,-73.51519958
2010,3,3,0.0,45.49330015,-73.57684514
2007,2,3,0.0,45.53538985,-73.6029725
2009,11,2,0.0,45.50329826,-73.84640963
2007,10,1,0.0,45.60929257,-73.61995459
2006,10,2,0.0,45.49506988,-73.75597362
2006,5,3,0.0,45.47549436,-73.61394865
2007,11,1,0.0,45.44440901,-73.70960177
2008,2,1,0.0,45.62596143,-73.60251645
2010,1,1,0.0,45.43879896,-73.6094046
2009,2,3,0.0,45.48801185,-73.7328122
2009,9,1,0.0,45.64862028,-73.55520582
2008,7,3,0.0,45.55703786,-73.53619256
2009,11,2,0.0,45.58587057,-73.62025593
2008,6,2,0.0,45.66612739,-73.49615216
2006,11,2,0.0,45.44124529,-73.82232302
2006,3,2,0.0,45.42742687,-73.90693359
2009,5,3,0.0,45.52714553,-73.71257505
2007,11,3,0.0,45.46312419,-73.65027918
2008,6,1,0.0,45.63953722,-73.58805809
2006,1,1,0.0,45.51757341,-73.64347372
2007,4,3,0.0,45.53894201,-73.57425092
2006,4,3,0.0,45.48564034,-73.7749932
2009,2,1,0.0,45.58653406,-73.52924769
2006,9,2,0.0,45.60457243,-73.57064565
2010,12,3,0.0,45.49553152,-73.83751378
2008,9,1,0.0,45.51202887,-73.63806537
2006,5,2,0.0,45.46881899,-73.83253547
2010,2,1,0.0,45.57488168,-73.53891325
2008,4,1,0.0,45.65745123,-73.51664887
2006,3,2,0.0,45.63900367,-73.52221837
2006,10,2,0.0,45.61902817,-73.52598322
2007,7,3,0.0,45.48163594,-73.78971293
2008,9,3,0.0,45.64812345,-73.57815837
2008,11,3,0.0,45.6463354,-73.55016488
2009,9,1,0.0,45.55004823,-73.6311283
2006,5,3,0.0,45.68741385,-73.49436035
2007,3,1,0.0,45.53468161,-73.64818078
2009,12,2,0.0,45.57222457,-73.55990816
2008,7,3,0.0,45.46299362,-73.83133402
2009,7,3,0.0,45.50071692,-73.84515957
2007,3,1,0.0,45.42946451,-73.93812396
2006,8,2,0.0,45.41015563,-73.9354191
2007,10,2,0.0,45.5633661,-73.56165993
2008,10,3,0.0,45.68385452,-73.50579593
2008,10,2,0.0,45.59430551,-73.56002087
2009,1,3,0.0,45.61239472,-73.53032104
2007,8,2,0.0,45.53451567,-73.58495957
2007,8,2,0.0,45.49962635,-73.77047318
2008,4,2,0.0,45.50624293,-73.82632309
2006,4,2,0.0,45.54700117,-73.61529329
2008,3,1,0.0,45.4470325,-73.72191276
2010,5,2,0.0,45.67544469,-73.51949291
2009,9,1,0.0,45.46392943,-73.84735294
2008,11,3,0.0,45.48797893,-73.61045874
2010,8,2,0.0,45.43283374,-73.61639501
2010,9,1,0.0,45.49554773,-73.76653141
2008,6,1,0.0,45.42225457,-73.91033443
2010,3,3,0.0,45.4773045,-73.79172135
2009,3,1,0.0,45.68177066,-73.50074024
2006,9,2,0.0,45.61448636,-73.60340683
2010,8,2,0.0,45.5968676,-73.57195032
2006,1,2,0.0,45.5703431,-73.56167806
2008,9,1,0.0,45.45086121,-73.73097874
2006,10,1,0.0,45.46847997,-73.65375745
2009,9,3,0.0,45.43145462,-73.87454014
2008,6,3,0.0,45.52146348,-73.6241658
2007,2,3,0.0,45.57090038,-73.56849616
2006,5,3,0.0,45.66500818,-73.5165885
2010,5,1,0.0,45.45530685,-73.57060188
2006,4,1,0.0,45.52836242,-73.64998023
2010,10,2,0.0,45.47601288,-73.79687942
2007,9,2,0.0,45.61039238,-73.60691294
2006,4,2,0.0,45.49098151,-73.82129273
2010,7,2,0.0,45.59221711,-73.6315085
2007,6,2,0.0,45.53251803,-73.5921338
2009,9,2,0.0,45.50262771,-73.63593174
2007,10,3,0.0,45.50629857,-73.59249057
2008,3,2,0.0,45.48734232,-73.75548857
2009,9,2,0.0,45.59399209,-73.57258199
2006,1,3,0.0,45.57202475,-73.63204963
2008,5,1,0.0,45.49936437,-73.6569725
2006,12,3,0.0,45.62899661,-73.52329404
2009,10,2,0.0,45.50608951,-73.65693509
2008,12,2,0.0,45.48591862,-73.62549518
2009,9,3,0.0,45.44323954,-73.89478079
2008,6,1,0.0,45.46116302,-73.61293008
2010,1,3,0.0,45.41976625,-73.89465157
2006,1,3,0.0,45.67276973,-73.5153252
2007,8,3,0.0,45.57276041,-73.60955109
2009,2,2,0.0,45.58628473,-73.52808489
2006,7,2,0.0,45.4867438,-73.64301719
2006,9,3,0.0,45.5345638,-73.55600126
2010,2,2,0.0,45.52449289,-73.63569134
2009,11,3,0.0,45.50645289,-73.73373449
2007,4,3,0.0,45.49364059,-73.62966293
2007,2,2,0.0,45.57632852,-73.60140884
2006,7,1,0.0,45.45338579,-73.672909
2006,12,3,0.0,45.61261258,-73.60817968
2010,2,1,0.0,45.43939289,-73.94743529
2010,7,3,0.0,45.46701395,-73.7468784
2007,11,1,0.0,45.41769361,-73.91278032
2006,6,1,0.0,45.53062494,-73.55306469
2010,10,1,0.0,45.46329246,-73.64918306
2006,6,3,0.0,45.43733329,-73.8694944
2006,7,2,0.0,45.61438958,-73.60017074
2008,10,1,0.0,45.56678781,-73.55911275
2006,4,3,0.0,45.44720895,-73.73388031
2010,3,3,0.0,45.65840711,-73.55966388
2010,6,1,0.0,45.46592161,-73.71037846
2010,5,3,0.0,45.48906709,-73.68804003
2008,8,2,0.0,45.5337225,-73.70438737
2006,1,1,0.0,45.54077338,-73.66075088
2008,2,2,0.0,45.6984518,-73.48704023
2007,1,2,0.0,45.63032505,-73.56434813
2008,9,3,0.0,45.46267688,-73.671083
2009,1,3,0.0,45.50594713,-73.75818917
2010,10,2,0.0,45.50245863,-73.64686417
2006,8,3,0.0,45.43190741,-73.92163953
2009,9,1,0.0,45.45563667,-73.73998647
2010,6,3,0.0,45.53183977,-73.64858799
2010,11,3,0.0,45.44227593,-73.94756117
2010,11,3,0.0,45.43075881,-73.89771459
2007,5,3,0.0,45.44856959,-73.64258293
2007,2,2,0.0,45.49406338,-73.55470545
2007,11,1,0.0,45.56320444,-73.65464346
2007,11,2,0.0,45.44839161,-73.83076082
2007,10,2,0.0,45.46929587,-73.71301098
2009,8,3,0.0,45.59096196,-73.51130101
2008,9,1,0.0,45.41267187,-73.94353434
2009,4,1,0.0,45.57202442,-73.61140446
2006,8,1,0.0,45.42657323,-73.94690332
2006,9,1,0.0,45.63190909,-73.54074859
2007,12,3,0.0,45.44294263,-73.70670857
2007,5,1,0.0,45.45776974,-73.61443633
2006,2,1,0.0,45.53503998,-73.63461033
2006,2,3,0.0,45.4875241,-73.56759511
2008,12,3,0.0,45.46764291,-73.84984602
2009,5,3,0.0,45.54077005,-73.62039723
2008,12,3,0.0,45.46844509,-73.78587637
2006,7,1,0.0,45.52697645,-73.6577769
2008,9,1,0.0,45.43148785,-73.90595191
2006,12,2,0.0,45.6919165,-73.49310822
2009,7,1,0.0,45.44262713,-73.69843002
2007,10,2,0.0,45.4965697,-73.73849859
2010,11,1,0.0,45.67980069,-73.50727945
2010,7,2,0.0,45.42641098,-73.87415554
2007,2,3,0.0,45.45752699,-73.58444811
2009,9,2,0.0,45.67124473,-73.50816512
2009,1,1,0.0,45.56769807,-73.58565745
2009,10,1,0.0,45.57437527,-73.61235892
2010,3,3,0.0,45.47700936,-73.63987974
2007,12,3,0.0,45.62079709,-73.55645675
2010,4,2,0.0,45.47387492,-73.81400625
2010,11,3,0.0,45.51472803,-73.56124905
2007,10,1,0.0,45.57261574,-73.55850661
2010,3,3,0.0,45.47324775,-73.73217613
2008,9,1,0.0,45.59259898,-73.54918538
2008,10,3,0.0,45.49190954,-73.68416031
2009,9,2,0.0,45.45184423,-73.69727522
2006,9,3,0.0,45.53002589,-73.68930075
2006,1,1,0.0,45.62595624,-73.52276518
2009,2,2,0.0,45.46807741,-73.66792835
2008,8,3,0.0,45.53255937,-73.64382893
2006,3,1,0.0,45.56398234,-73.62887401
2006,12,1,0.0,45.62557572,-73.56848015
2008,1,2,0.0,45.48971446,-73.64881659
2007,11,2,0.0,45.48102525,-73.81752748
2010,3,2,0.0,45.56501401,-73.62359234
2006,6,3,0.0,45.46568034,-73.77021298
2010,9,2,0.0,45.58977556,-73.59115248
2009,6,1,0.0,45.69741799,-73.48341578
2006,12,3,0.0,45.51695938,-73.68757982
2010,12,1,0.0,45.50511028,-73.68414036
2009,1,1,0.0,45.55293611,-73.54281489
2008,12,1,0.0,45.53330177,-73.55815575
2006,10,1,0.0,45.60372125,-73.6122126
2009,3,3,0.0,45.50352497,-73.62483236
2007,2,1,0.0,45.60690692,-73.61584353
2007,8,3,0.0,45.51286202,-73.59754485
2006,3,3,0.0,45.63150794,-73.56608286
2009,8,3,0.0,45.66275078,-73.49423788
2009,7,1,0.0,45.46607802,-73.8710879
2006,6,1,0.0,45.47551709,-73.5622932
2009,8,3,0.0,45.45082046,-73.84238734
2007,1,1,0.0,45.4900308,-73.62143943
2006,3,3,0.0,45.45056415,-73.78177621
2007,4,2,0.0,45.50890101,-73.75052125
2006,6,1,0.0,45.54436512,-73.6011938
2008,2,1,0.0,45.51087867,-73.63827358
2006,1,3,0.0,45.48120425,-73.74573521
2006,9,3,0.0,45.53927843,-73.56390197
2006,1,1,0.0,45.55751464,-73.60519363
2010,1,1,0.0,45.64008,-73.51299584
2006,7,3,0.0,45.52277984,-73.55602059
2007,3,1,0.0,45.50173374,-73.6158927
2006,1,2,0.0,45.45967931,-73.7590921
2008,7,3,0.0,45.50884826,-73.72458296
2006,3,3,0.0,45.64976503,-73.51543392
2007,9,3,0.0,45.47877192,-73.78695208
2006,4,1,0.0,45.64373728,-73.51524075
2008,9,2,0.0,45.49362645,-73.6400984
2010,8,3,0.0,45.45951583,-73.68956158
2009,1,3,0.0,45.48555088,-73.75244462
2009,12,2,0.0,45.5703603,-73.62093751
2010,3,3,0.0,45.49928631,-73.64678499
2009,3,3,0.0,45.49217497,-73.60878589
2007,9,2,0.0,45.45145757,-73.92057024
2010,8,2,0.0,45.50777287,-73.57053178
2009,7,3,0.0,45.53659716,-73.69741955
2010,5,1,0.0,45.66191125,-73.51110637
2010,3,1,0.0,45.58623829,-73.58012539
2007,12,3,0.0,45.56429086,-73.66376685
2010,4,2,0.0,45.61131126,-73.59780213
2006,9,3,0.0,45.62670668,-73.55977173
2008,2,2,0.0,45.49580168,-73.62255428
2007,7,2,0.0,45.48104645,-73.76568045
2008,2,3,0.0,45.43813905,-73.6065253
2008,12,3,0.0,45.56575073,-73.5733832
2007,12,3,0.0,45.59115873,-73.62296663
2008,7,2,0.0,45.51072054,-73.64056799
2010,9,1,0.0,45.52619565,-73.63286975
2006,3,3,0.0,45.52745518,-73.55471362
2010,4,3,0.0,45.50829262,-73.63638184
2007,4,3,0.0,45.46661303,-73.71827955
2006,8,1,0.0,45.50748431,-73.65212632
2010,2,3,0.0,45.56305212,-73.67243998
2006,10,1,0.0,45.47780195,-73.7629738
2009,5,2,0.0,45.60422835,-73.56392973
2007,4,2,0.0,45.49704213,-73.77727301
2009,4,3,0.0,45.49749146,-73.84538093
2006,8,3,0.0,45.56061785,-73.59477459
2009,8,3,0.0,45.58143861,-73.56446514
2010,1,1,0.0,45.5548036,-73.55517825
2009,7,2,0.0,45.58198747,-73.57182643
2008,4,3,0.0,45.44451515,-73.71346276
2006,1,3,0.0,45.50587242,-73.74153375
2010,12,3,0.0,45.49205176,-73.71910111
2007,10,3,0.0,45.45623788,-73.82781583
2009,10,3,0.0,45.54982679,-73.57367601
2006,1,2,0.0,45.48696399,-73.63723542
2008,8,3,0.0,45.43058515,-73.69655112
2009,9,3,0.0,45.46531045,-73.61236991
2007,5,2,0.0,45.49529601,-73.61606317
2008,8,3,0.0,45.48520158,-73.61413054
2008,7,2,0.0,45.6729538,-73.50161397
2010,6,2,0.0,45.47261038,-73.56345567
2006,6,3,0.0,45.5174164,-73.73154422
2010,5,2,0.0,45.42354414,-73.64231008
2006,7,2,0.0,45.41959203,-73.94542365
2007,6,2,0.0,45.45615514,-73.59501751
2007,6,1,0.0,45.61480258,-73.52275614
2006,8,3,0.0,45.41120425,-73.92829501
2009,10,3,0.0,45.49368896,-73.62578136
2010,5,1,0.0,45.51158715,-73.57898302
2006,9,3,0.0,45.51005188,-73.80428555
2008,4,3,0.0,45.46458085,-73.66614017
2009,2,1,0.0,45.61276619,-73.56800852
2006,12,2,0.0,45.46644461,-73.82612708
2006,9,3,0.0,45.65694421,-73.51532581
2006,12,2,0.0,45.50527761,-73.69215565
2009,2,3,0.0,45.46274465,-73.7099954
2009,1,3,0.0,45.56182396,-73.55973459
2010,8,1,0.0,45.42732245,-73.90238986
2007,8,1,0.0,45.5204252,-73.58887615
2008,8,1,0.0,45.50294599,-73.69157247
2007,9,2,0.0,45.49821634,-73.75602349
2007,8,2,0.0,45.46742031,-73.56755612
2007,1,3,0.0,45.65966951,-73.53926485
2009,1,1,0.0,45.46123512,-73.72281051
2010,8,1,0.0,45.51155814,-73.75298019
2009,10,2,0.0,45.503357,-73.64263585
2009,9,3,0.0,45.61576353,-73.61475623
2008,9,2,0.0,45.54165988,-73.67093447
2010,9,2,0.0,45.45216348,-73.68788028
2007,12,3,0.0,45.48308142,-73.60665797
2008,6,3,0.0,45.55613738,-73.63593296
2010,12,3,0.0,45.52422009,-73.58768746
2006,5,3,0.0,45.59516905,-73.54702069
2010,1,3,0.0,45.50526417,-73.81322748
2008,5,3,0.0,45.53085174,-73.59514786
2009,12,3,0.0,45.49859691,-73.7733406
2009,12,1,0.0,45.44782967,-73.90349373
2008,6,2,0.0,45.48233099,-73.76495397
2009,11,3,0.0,45.42681295,-73.625175
2010,10,2,0.0,45.43635288,-73.73191364
2010,11,1,0.0,45.45199048,-73.91481625
2008,3,3,0.0,45.47931416,-73.69622013
2008,5,2,0.0,45.42049857,-73.93533303
2008,4,2,0.0,45.48057383,-73.85041664
2009,11,2,0.0,45.61362176,-73.51318522
2006,5,2,0.0,45.5486763,-73.64619443
