annee,DT_ACCDN,HR_ACCDN,NO_CIVIQ_ACCDN,RUE_ACCDN,ACCDN_PRES_DE
2006,1/13/06,7:45,,F 5778 N-D E,DICKSON
2006,1/14/06,16:45,,BERRI,GARNEAU
2006,1/25/06,7:30,,SHERBROOKE O,DU MUSEE
2006,2/2/06,,,MILLEN,LEGENDRE
2006,2/2/06,16:05,,1606 STE CATHERINE O,GUY
2006,2/3/06,15:40,,BEAVER HALL,DE LA GAUCHETIERE
2006,2/8/06,15:15,,PAPINEAU,MAISONNEUVE
2006,2/14/06,11:45,,ROSEMONT,IBERVILLE
2006,2/16/06,16:10,,STE CATHERINE,CLARK
2006,2/19/06,18:18,,ROUEN,DAVIDSON
2006,3/2/06,14:55,,BERRI,ONTARIO
2006,3/7/06,19:22,,LEGENDRE,9E AV
2006,3/7/06,19:22,,LEGENDRE,9E AV
2006,3/8/06,11:17,,VERDUN,HICKSON
2006,3/10/06,17:32,,SHERBROOKE O,ADDINGTON
2006,3/11/06,3:55,,STE CATHERINE,ST URBAIN
2006,3/11/06,17:10,,STE MARGUERITE,ST ANTOINE
2006,3/16/06,13:00,,CATHERALE,ST ANTOINE
2006,3/20/06,19:29,,PINS,CLARK
2006,3/22/06,16:00,,PIE IX,DES GDES PRAIRIES
2006,3/23/06,9:25,,WILLIAM,YOUNG
2006,3/23/06,13:22,,BELLECHASSE,PAPINEAU
2006,3/24/06,7:35,,34E AV,N-D
2006,3/24/06,16:00,,AV LAURIER E,DROLET
2006,3/25/06,13:00,,PROVOST,3E AV
2006,3/25/06,18:40,,COTE ST LUC,EARNSCLIFFE
2006,3/26/06,19:24,,BD PERRAS,ARMAND BOMBARDIER
2006,3/28/06,7:25,,MAISONNEUVE,PLESSIS
2006,3/28/06,7:30,,FACE 2555 PROVOST,25E AV
2006,3/28/06,8:55,,BOUCHERVILLE,CURATTEAU
2006,3/28/06,11:37,,SHERBROOKE E,DICKSON
2006,3/28/06,13:00,,ST JACQUES,ST PHILIPPE
2006,3/28/06,14:25,,1208 LAJOIE,BLOOMFIELD
2006,3/28/06,15:40,,F 2535 DE GRANBY,
2006,3/29/06,8:54,,RIVERSIDE,MILL
2006,3/29/06,9:05,,ROY,ST LAURENT
2006,3/30/06,8:18,,STE CATHERINE,PARK
2006,3/30/06,17:20,,1500 STE CATHERINE O,
2006,3/30/06,21:32,,RACHEL E,CHAPLEAU
2006,3/31/06,,,D AUTEUIL,FLEURY
2006,3/31/06,15:10,,3980 LASALLE,EDNA
2006,3/31/06,20:45,,DELORIMIER,AUGIER
2006,4/1/06,16:20,,10350 PIE IX,
2006,4/2/06,12:35,,GILFORD,BREBEUF
2006,4/3/06,8:13,,35E AV,BELLECHASSE
2006,4/3/06,13:23,,CENTRE,ROPERY
2006,4/6/06,14:24,,BD LES GAL D ANJOU,DES HALLES
2006,4/7/06,16:30,,COTE STE CATHERINE,STUART
2006,4/9/06,12:40,,ST DENIS,BELLECHASSE
2006,4/9/06,13:00,,RENE LEVESQUE,ST HUBERT
2006,4/9/06,16:45,,1825 VIAU,LAFONTAINE
2006,4/10/06,17:45,,ST HUBERT,RACHEL
2006,4/11/06,8:00,,ST JEAN,SALABERRY
2006,4/12/06,8:40,,PRINCE ARTHUR,CLARK
2006,4/12/06,13:00,,STE CATHERINE,DRUMMOND
2006,4/12/06,15:00,,RACHEL,RIVARD
2006,4/12/06,15:25,,ST LAURENT,VIGER
2006,4/13/06,17:10,,RACHEL,DE BULLION
2006,4/13/06,22:50,,4565 ST ALURENT,MT ROYAL
2006,4/14/06,,,STE CATHERINE,JEANNE D ARC
2006,4/17/06,6:15,,ST DENIS,ROSEMONT
2006,4/18/06,15:21,,SHERBROOKE,PAPINEAU
2006,4/19/06,8:07,,BERRI,VIGER
2006,4/19/06,8:10,,15E AV,ROSEMONT
2006,4/19/06,15:50,,ROCHON,ST GERMAIN
2006,4/19/06,18:40,,VERDUN,WOODLAND
2006,4/19/06,19:45,,BD LASALLE,GALT
2006,4/20/06,9:50,,MAURICE DUPLESSIS,CLEMENT ADER
2006,4/20/06,16:00,,69 STE ANNE,ST PIERRE
2006,4/20/06,17:10,,HOCHELAGA,TAILLON
2006,4/21/06,13:10,,500 GOUIN,
2006,4/21/06,18:20,,FACE 10634 PERRAS,
2006,4/21/06,18:30,,LAURENDEAU,GALT
2006,4/22/06,17:27,,AUTO PLAZA,HERMITAGE
2006,4/24/06,3:00,,GUY,ST ANTOINE
2006,4/24/06,10:35,,QUERBES,ST JOSEPH
2006,4/25/06,18:12,,270 BEAUBIEN O,
2006,4/26/06,16:45,,4547 ST LAURENT,ST LAURENT
2006,4/26/06,17:20,,8783 ST DENIS,CREMAZIE
2006,4/26/06,18:02,,LAURIER,DE GASPE
2006,4/27/06,8:35,,BERNARD,QUERBES
2006,4/27/06,16:00,,1054 8E AV,LAGAUCHETIERE
2006,4/27/06,17:05,,HOGUE,PRIEUR
2006,4/27/06,18:16,,TERREBONNE,CORONATION
2006,4/27/06,22:48,,ALFRED,DE CASTILLE
2006,4/29/06,12:00,,DELORIMIER,LAURIER
2006,4/29/06,13:10,,VILLERAY,ST MICHEL
2006,4/29/06,16:40,,GUIZOT,HENRI JULIEN
2006,4/30/06,15:00,,65 CH BORD DU LAC,
2006,4/30/06,15:45,,PROVENCHER,DENIS PAPIN
2006,4/30/06,16:05,,GAL D ANJOU,BEAUBIEN
2006,5/1/06,7:57,,DE LORIMIER,BELLECHASSE
2006,5/1/06,17:30,,PAPINEAU,BARNABE LAROQUE
2006,5/1/06,18:00,,STE CATHERINE,DORION
2006,5/2/06,7:56,,DES ORMEAUX,SHERBROOKE
2006,5/2/06,15:30,,2E AV,JEAN RIVARD
2006,5/2/06,16:30,,ALEXANDER,LOGAN
2006,5/3/06,8:05,,SHERBROOKE,PIE IX
2006,5/3/06,17:43,,AMOS ALFRED,ALFRED
2006,5/4/06,11:30,,ONTARIO,WOLFE
2006,5/4/06,11:50,,ALEXANDRE SEVE,STE CATHERINE
2006,5/4/06,12:30,,RACHEL,DROLET
